orders_id	First product_name
29100900	Bone In Wings
29100901	Fettucine Alfredo
29100902	Plain Pizza
29100903	Bruschetta Tomato & Garlic
29100904	Baked Potato with Cheese
29100905	Special Cheese Pizza
29100906	Cheese Pizza
29100907	Boneless Wings
29100908	Party Pizza
29100909	Chicken Wings
29100910	X-Large 8 Cut Pizza with Ten Wings for Only $19.99
29100911	Cheese Bread
29100912	Cheese Pizza
29100913	Chicken Parm Sub
29100914	Cheese Pizza
29100915	Mozzarella Fries
29100916	Jumbo Wings
29100917	Cheese Pizza
29100918	Bread Sticks
29100919	Chicken Wings
29100920	Cheese Pizza
29100921	Cheese Pizza
29100922	Brothers Special Pizza
29100923	Cheese Pizza
29100924	Boneless Wings
29100925	Thin Crust Cheese Pizza
29100926	Fried Mushrooms
29100927	New York Style Cheese Pizza
29100928	Italian Hoagie
29100929	Boneless Wings
29100930	Cheese Sticks
29100931	Cheese Pizza
29100932	Plain Cheese Pizza
29100933	Cheese Pizza
29100934	Chicken Wings
29100935	Cheesesteak Wrap
29100936	Greek Salad
29100937	Cheese Pizza
29100938	Baked Ziti
29100939	Cheese & Tomato Pizza
29100940	Calamari Salad
29100941	Cheese Pizza
29100942	Regular Cheese Pie
29100943	Chicken Caesar Wrap
29100944	Beef Koobideh Wrap
29100945	Chef's Salad
29100946	Breaded Chicken Wrap with Fresh Mozzarella
29100947	Bleu Cheese Dipping Sauce
29100948	Mozzarella Sticks
29100949	Greek Salad
29100950	Cheese Pizza
29100951	Broccoli & Cheddar Bites
29100952	Meal Deal Special for $28.99
29100953	New York Style Pizza
29100954	BBQ Chicken Pizza
29100955	Baked Potato with Cheese
29100956	Cheese Pizza
29100957	Chicken Parmesan
29100958	California Burger
29100959	Mozzarella Sticks
29100960	Cheese Pizza
29100961	Meatball Sub
29100962	Cheese Pizza
29100963	Calzone
29100964	24. Cheese Steak
29100965	Cheese Pizza
29100966	Baked Spaghetti with 1 Topping
29100967	Bacon Cheeseburger Deluxe
29100968	Buffalo Wings
29100969	Chicken Parmesan Pasta
29100970	White Pizza Pie
29100971	Funnel Cake Fries
29100972	Chicken Parmigiana Sub
29100973	All Meat Pizza
29100974	Calamari Salad
29100975	Buffalo Chicken Pizza
29100976	Cheese Pizza
29100977	Cheese & Herb Pizza
29100978	Chicken Salad Cold Sub
29100979	Cheese Pizza
29100980	Cheese Pizza
29100981	Chicken Fingers & Fries
29100982	Cheese Pizza
29100983	Cheese Pizza
29100984	Cheese Pizza Slice
29100985	Spicy Chicken Sandwich
29100986	Regular Cheese Pizza
29100987	Chicken Cutlet Hero
29100988	Fettucini Alfredo
29100989	Dinner Salad
29100990	Buffalo Wrap
29100991	Cheese Pizza
29100992	Buffalo Chicken Cheesesteak
29100993	Cheesesteak Hoagie
29100994	Bread Sticks with Cheese
29100995	Rigatoni
29100996	Buffalo Wings
29100997	Mozzarella Sticks
29100998	Cheese Calzone
29100999	California Cheesesteak Sandwich
29101000	Garlic Bread
29101001	Build Your Own Cheese Pizza
29101002	Bacon Cheeseburger
29101003	Gluten Free Rotini with Alfredo Sauce
29101004	"Garlic, Tomato & Bacon White Pizza"
29101005	Chicken Francese Dinner
29101006	Pepperoni Pizza
29101007	Chicken Cheesesteak Sub
29101008	Cheese Fries
29101009	Hawaiian Inferno Wings
29101010	"Buy One 16"" Pizza & Get One 12"" Cheese Pizza FREE Monday Special"
29101011	Steak Rancher Pizza
29101012	Cheese Pizza
29101013	Calzone
29101014	The 'Very Veggie Red' Pizza
29101015	BBQ Chicken Pizza
29101016	Garlic Knots
29101017	American Sub
29101018	Grilled Chicken Salad
29101019	Build Your Own Pizza
29101020	Calzone
29101021	Wings
29101022	French Fries
29101023	Chicken Tikka Masala
29101024	Create Your Own Pizza
29101025	Cheesesticks
29101026	Cheese Pizza
29101027	Mushrooms Pizza
29101028	Fried Dough
29101029	Gyro Platter
29101030	Caesar Salad
29101031	Stromboli
29101032	Cheese Pizza
29101033	Cheese Pizza
29101034	Calzone
29101035	Build Your Own Pizza
29101036	Batter Flipped Onion Rings
29101037	#4 Action Jaxon Panini
29101038	Neapolitan Thin Crust Cheese Pizza
29101039	Linguine Meatballs
29101040	House Breakfast Pizza
29101041	Cheese Pizza
29101042	BLT Sub
29101043	Primavera Pizza
29101044	Extreme Pizza
29101045	Cheese Pizza
29101046	Battered Broccoli Bites
29101047	Buffalo Ranch Pizza
29101048	Chicken Tenders
29101049	Chicken Parm Pasta
29101050	Chicken Fingers & Fries
29101051	Gluten Free Pizza
29101052	Calzone
29101053	Fried Mozzarella Sticks
29101054	Pasta Monday Special
29101055	Hand Tossed Cheese Pizza
29101056	Cheese Pizza
29101057	Chicken Quesadillas
29101058	Chicken Noodle Soup
29101059	Cheese Bread
29101060	Breadsticks
29101061	House Salad
29101062	Pasta Bowl
29101063	Cheese Pizza
29101064	Bacon Cheeseburger Deluxe
29101065	Buffalo Wing Platter
29101066	Buffalo Chicken Pizza
29101067	Cheese Pizza
29101068	Cheese Pizza
29101069	Cheese Pizza Slice
29101070	Bacon & Cheese Breadstick
29101071	Chicken Tenders
29101072	Premium Cheese Pizza
29101073	Build Your Own Pizza
29101074	Calzone
29101075	Buffalo Tender Salad
29101076	Cheesecake
29101077	Meat Supreme Pizza
29101078	4x4 Cheeseburger
29101079	Cheese Pizza
29101080	Caprese Salad
29101081	Chicken Salad Sub
29101082	Arugula Salad
29101083	Cheese & Pepperoni Pizza
29101084	Steak Hoagie
29101085	Build Your Own Pizza
29101086	Two X-Large Two Topping Pizzas For Only $28.99
29101087	Baked Ziti Pizza
29101088	Meatball Parm Sub
29101089	Chicken Parmigiana Hot Sub
29101090	Burger
29101091	Cheese Pizza
29101092	Cheese Pizza
29101093	Cheese Steak Hero
29101094	Onion Rings
29101095	Napoletana Pizza
29101096	Cheese Ravioli
29101097	Bone In Wings
29101098	Burger
29101099	Cheese Bread
29101100	Chicken Fingers
29101101	Cheesesteak Sandwich
29101102	Mozzarella Sticks
29101103	BBQ Chicken Pizza
29101104	Two Large Cheese Pizza Monday-Thursday Special
29101105	BBQ Chicken Pizza
29101106	Chicken Piccata
29101107	French Fries
29101108	Antipasto Salad
29101109	Cheese Pizza
29101110	1. Grilled Chicken Caesar Wrap
29101111	Chicken Caesar Salad
29101112	Cheese Quesadilla
29101113	7. Turkey Sub
29101114	Cheese Pizza
29101115	Sicilian Pizza
29101116	Two Medium Pizzas with Three Toppings for $16.99
29101117	Antipasto Salad
29101118	Ciabatta Sandwich with Grilled Chicken
29101119	Buffalo Wings
29101120	Ham Doagie
29101121	6-Topping Cheese Pizza
29101122	Breaded Buffalo Wings
29101123	Mozzarella Sticks
29101124	Cheese Pizza
29101125	Meat Lover's Pizza
29101126	Bar Pie
29101127	Buffalo Wings
29101128	Big Pappa Award Winning Pizza
29101129	French Fries
29101130	Cheese Pizza
29101131	Cheesesteak Sub
29101132	Margarita Cheese Pizza
29101133	Chicken Wing Ding Dinner
29101134	Cheese Stromboli
29101135	One Item Pizza Slice
29101136	Cheese Pie
29101137	Chicken Wings
29101138	Cheese Pizza
29101139	Chicken Wings
29101140	Arrabiatta Pizza
29101141	Cheese Pizza
29101142	Chicken Francaise Pasta
29101143	One Topping Pizza
29101144	French Fries
29101145	Soda
29101146	Bone In Buffalo Wings
29101147	Pepperoni Suicide Pizza
29101148	French Fries
29101149	French Fries
29101150	Chicken Caesar Salad
29101151	Buffalo Chicken Salad
29101152	Amar Sauce
29101153	Grilled Chicken Salad
29101154	Garlic Knots
29101155	Bruschetta
29101156	Homemade Garlic Cheese Bread
29101157	6-Topping Cheese Pizza
29101158	French Fries
29101159	Cheese Pizza
29101160	22. Cheese Steak Sub
29101161	11. Aloha Hawaiian Pizza
29101162	Large 16'' Pizza with One Topping & 10 Wings Combo
29101163	Came Asada Steak Burrito
29101164	Cheesy Garlic Sweet Bread
29101165	Chicken Parmigiana Sub
29101166	Fontina Pizza
29101167	Chicken Wings
29101168	Grilled Chicken Salad
29101169	Cheese Steak Sandwich
29101170	Greek Salad with Grilled Chicken
29101171	Cappellini Primavera
29101172	Buffalo Chicken Pizza
29101173	Cheese Pizza
29101174	Buffalo Cheese Fries
29101175	Boneless Wings
29101176	Cauliflower Thin Crust Pizza
29101177	Cheese Pizza
29101178	Cheesesteak
29101179	Brooklyn Pie
29101180	Regular Cheese Pizza
29101181	Double Dough Cheese Pizza
29101182	Cheese Pizza
29101183	Boneless Chicken Wings
29101184	Mozzarella Sticks
29101185	Italian Pizza
29101186	Cheese Pizza with Two Toppings
29101187	Cheese Pizza
29101188	Greek Salad
29101189	Chicken Parm Sub
29101190	BBQ Rib Tipz
29101191	Arugula Salad
29101192	Chicken Gyro
29101193	Cheese Pizza
29101194	Caesar Salad
29101195	Cheese Pizza
29101196	Cheese Pizza
29101197	Cheese Pizza
29101198	Chicken Bacon Ranch Pizza
29101199	Brooklyn Sicilian Pizza
29101200	Cheese & Pepperoni Pizza
29101201	Classic Italian Sub
29101202	Soda
29101203	"Breaded Chicken, Lettuce & Tomatoes Hero"
29101204	"16"" Large Cheese Pizza & 20 Boneless Wings Special"
29101205	Cheesesteak Sub
29101206	Buffalo Wings
29101207	Italian Sausage
29101208	Classic Cheese Pizza
29101209	Extra Mozzarella Cheese Pizza
29101210	Cheese Baked Ziti
29101211	Plain Pizza
29101212	Antipasto Salad
29101213	Baked Ziti
29101214	Calzone
29101215	Calzone
29101216	Colossal Cheese Fries
29101217	One Large 1 Topping Pizza & 12 Jumbo Wings Special
29101218	Bottomless Soda
29101219	Mini Cannoli
29101220	Hand Tossed Pizza
29101221	Cheesesteak
29101222	Grilled Tilapia
29101223	"X-Large 18"" Neapolitan Cheese Pizza, 8 Pieces Wings & 6 Pieces Mozzarella Sticks Special"
29101224	Keto Low Crab Pizza
29101225	Mega Meat Pizza
29101226	Italian Club Sub
29101227	Cauliflower Cheese Pizza
29101228	Fried Zucchini
29101229	Chicken Parmigiana
29101230	Key Lime Pie
29101231	Antipasto Salad
29101232	Garden Salad
29101233	Plain Cheese Pizza
29101234	Mozzarella Cheese Pizza
29101235	Buffalo Chicken Pizza
29101236	Build Your Own Pizza
29101237	Brownies
29101238	French Fries
29101239	Boneless Wings
29101240	Buffalo Wings
29101241	Fried Buffalo Chicken Hoagie
29101242	Hawaiian Pizza
29101243	Two Large Cheese Pizzas For Only $19.99
29101244	Fat Cat Burger
29101245	Grilled Chicken Salad
29101246	Build Your Own Pizza
29101247	Chicken Cheesesteak Deluxe Sub
29101248	Cheese Pizza
29101249	Garlic Knots
29101250	Garlic Knots
29101251	Sicilian Cheese Pizza
29101252	2 Liter Soda
29101253	Antipasto Salad
29101254	Cheese Pizza
29101255	California Veggie Pizza
29101256	Cheese Fries
29101257	Cheese Pizza
29101258	Arugula Pizza
29101259	Caesar Salad with Chicken
29101260	Cheese Pizza
29101261	Buffalo Tails
29101262	Ultimate Pizza
29101263	Garlic Cheese Bread
29101264	Chicken Cutlet Sub
29101265	Custom Stromboli
29101266	BBQ Chicken Pizza
29101267	Tortellini with Chicken
29101268	Onion Rings
29101269	Bianca Pizza
29101270	Cheese Pizza
29101271	Buffalo Chicken Pan Pizza
29101272	Garlic Knots
29101273	BBQ Chicken Pizza
29101274	Cheese Fries
29101275	Thin Crust Cheese Pizza
29101276	Traditional New York Handmade Pizza
29101277	Amatriciana Pizza
29101278	Mozzarella Pizza
29101279	Buffalo Chicken Pizza
29101280	Barnyard Sub
29101281	Chicken Parmigiana Hero
29101282	Plain Cheese & Sauce Pizza
29101283	Large Cheese Pizza with Three Toppings for $11.99
29101284	Cheesesteak Sub
29101285	Boston's Famous Wings
29101286	Latino Salad Mix
29101287	Buffalo Chicken Ranch Pizza
29101288	Cheeseburger Sub
29101289	Rufino's Original Italian Panini
29101290	Onion Rings
29101291	All The Way Pizza Slice
29101292	Calzone
29101293	Cheese Steak Sandwich
29101294	Club Salad
29101295	Cheese Breadsticks
29101296	Cheesesteak Sandwich
29101297	Chicken Parmigiana
29101298	Chicken Roll
29101299	Build Your Own Stromboli
29101300	Cheese Pizza
29101301	Caesar Salad
29101302	Veggie Pizza
29101303	Caesar Salad
29101304	Soda
29101305	Chicago Style Deep Dish Cheese Pizza
29101306	Baked Ziti
29101307	French Fries
29101308	Bacon Cheese Burger Pizza
29101309	Chicken Gyro
29101310	Chicken Kabob Salad
29101311	Chicken Cheesesteak
29101312	Chicken Sandwich
29101313	BBQ Chicken Sub
29101314	Buffalo Chicken Pizza
29101315	Cheese Steak
29101316	Mozzarella Cheese Pizza
29101317	Cinnamon Sticks
29101318	Soda
29101319	Boneless Wings
29101320	Eggplant Wedge
29101321	Garlic Knots
29101322	Cheesesteak Sandwich
29101323	Grandma's Pizza
29101324	Chef Salad
29101325	Gatorade
29101326	Alfredo Fries
29101327	Chicken Caesar Focaccia Sandwich
29101328	Cheeseburger Sub
29101329	Cheeseburger Sub
29101330	All Meat Pizza
29101331	Cheese Pizza
29101332	Buffalo Wings
29101333	Cheese Pizza
29101334	Baked Ziti
29101335	#4. Small Cheese One Topping Pizza & 10 Wings
29101336	Hand Tossed Cheese Pizza
29101337	Chicken Roll
29101338	Family Meal Deal For $24.99
29101339	Gluten Free Hawaiian Punch Pizza
29101340	Cheese Pizza
29101341	Bufala Margherita Pizza
29101342	Macaroni & Cheese
29101343	10 Wings
29101344	German Chocolate Cake
29101345	Cheesesteak Sandwich
29101346	Cheese Pizza Slice
29101347	Cheese Sticks
29101348	Italian Burger
29101349	Chicken Francese
29101350	Garlic Knots
29101351	Crispy Calmari
29101352	Three Toppings Pizza
29101353	One Topping Pizza
29101354	Cheese Pizza
29101355	Cheese Pie
29101356	Mozzarella Sticks
29101357	Cannoli
29101358	BBQ Rib Tipz
29101359	Spicy Chicken Sandwich
29101360	BBQ Chicken Pizza
29101361	Plain Cheese Pizza
29101362	Triboro Pizza
29101363	Pierogies with Butter & Onions
29101364	Chicago Italian Beef Sandwich
29101365	Crab Cake Platter
29101366	Party Traditional Wings
29101367	Cheesy Garlic Bread
29101368	Cannoli
29101369	Chicken Wrap
29101370	Boneless Wings
29101371	Four Cheese Pizza
29101372	California Style Cheese Steak
29101373	BLT Sandwich
29101374	Chicken Bacon Ranch Wrap
29101375	Meat Lovers Pizza
29101376	Caesar Salad
29101377	Buffalo Chicken Wrap
29101378	Buffalo Wings
29101379	Crispy Chicken Salad
29101380	Cheese Pizza
29101381	Build Your Own Cheese Pizza
29101382	Buffalo Chicken Pizza
29101383	Monday One 12'' Cheese Pizza
29101384	Large Pizza with Three Toppings Pick Up Special for $9.75
29101385	Buffalo Wings
29101386	Caesar Salad
29101387	Cheese Fries
29101388	Boneless Chicken Wings
29101389	Buffalo Chicken Pizza
29101390	Meatball Calzone
29101391	Cheese Pizza
29101392	BLT Sub
29101393	Antipasto Salad
29101394	Cheesecake
29101395	Cheese Pizza
29101396	2-Topping Pizza
29101397	Chicken Cutlet Grinder
29101398	10 Pieces of Wings Night Monday Special
29101399	BBQ Beef Pizza
29101400	Margherita Pizza
29101401	Build a Pasta Bowl
29101402	"#1 Two Large Cheese Pizzas, Twenty Pieces Buffalo Wings Special"
29101403	8. Philly Steak Wrap
29101404	Cheese Pizza
29101405	French Fries
29101406	Round Neapolitan Cheese Pie
29101407	Margarita Pie
29101408	Chef's Salad
29101409	Garlic Bread
29101410	Cheese Pizza
29101411	Bone In Wings
29101412	Chicken Marsala
29101413	Eggplant Parmesan
29101414	Traditional Meat Lovers Pizza
29101415	All Meat Pizza
29101416	Plain Cheese Pizza
29101417	Eggplant Parmigiana with Baked Ziti
29101418	Cheese Waffle Fries
29101419	Tomato & Cheese Pizza
29101420	Daley Plaza Pizza
29101421	Cheesesteak Sub
29101422	Black & White Mousse with Chocolate Cake
29101423	Cheese Pizza
29101424	Regular Cheese Pizza
29101425	Cheesy Crust Pizza
29101426	Antipasto Platter
29101427	Mozzarella Cheese Pizza
29101428	Steak Tips over Rice
29101429	Neapolitan Thin Crust Cheese Pizza
29101430	Boneless Wings
29101431	Pasta with Meat Sauce
29101432	12 Cuts Red Pizza Monday Special Pick Up
29101433	Cheese Pizza
29101434	Garlic Cheese Bread
29101435	Chicken Tender Platter
29101436	Whole Chicken Family Value Combo
29101437	Cheese Pizza
29101438	Supreme Pizza
29101439	Build Your Own Pizza
29101440	Non-Breaded Buffalo Wings
29101441	Philly Cheesesteak Calzone
29101442	Chicken Fingers
29101443	Chicken Alfredo Pizza
29101444	Chicken Quesadilla
29101445	Cheese Pizza
29101446	Cheese & Pepperoni Pizza
29101447	Large Pizza & 2 Liter Soda Monday Special
29101448	Cheese Pizza
29101449	Cheese Pizza
29101450	Cannoli
29101451	Boneless Wings
29101452	Cheese Pie
29101453	Mozzarella Sticks
29101454	Chocolate Chip Cookie Cake
29101455	Buffalo Chicken Pizza
29101456	"2 Large 2 Topping Pizzas, Cheesy Garlic Bread & 2 Liter Soda Family Special For $29.99"
29101457	Caesar Salad
29101458	All Meat Calzone
29101459	Regular Tomato & Cheese Pizza
29101460	BBQ Chicken Pizza Slice
29101461	Cheese Steak
29101462	Butter Biscuit
29101463	French Fries
29101464	The Untouchables Pizza
29101465	Garlic Bread with Mozzarella Cheese
29101466	Build Your Own Pizza
29101467	New York Style Cheese Pizza
29101468	Thin Crust Cheese Pizza
29101469	Mozzarella Sticks
29101470	Boneless Dallas Wings
29101471	Grilled Chicken Salad
29101472	Cheese Pizza
29101473	Mozzarella Sticks
29101474	Antipasto Italiano Salad
29101475	Coney Island Cheese Pizza
29101476	Caesar Salad
29101477	Garlic Bread with Cheese
29101478	Mozzarella en Carrozza
29101479	Build Your Own Cheese Pizza
29101480	Sweet Potato Fries
29101481	Chicken Shawarma Sandwich
29101482	Eggplant Parmigiana
29101483	Chicken Cutlet Club Sandwich
29101484	Chicken Alfredo
29101485	BLT Grinder
29101486	Chicken Francese
29101487	Cheese Pizza
29101488	Cheese Pizza
29101489	Garlic Cheesy Stuffed Bread Balls
29101490	Neapolitan Cheese Pizza
29101491	Cheeseburger
29101492	"One 18"" Pizza with Two Toppings & 2 Liter Soda for Only 19.95 Pick Up Only"
29101493	Special Stromboli
29101494	Antipasto Salad
29101495	Neapolitan Vegetarian White Pizza
29101496	Breadstciks with Cheese
29101497	Four Cheese Calzone
29101498	Chicken Cutlet Club Sandwich
29101499	Build Your Own Panini
29101500	Chicken Salad
29101501	Bread Sticks with Cheese
29101502	Original NY Cheese Pizza
29101503	Atlantic Salmon
29101504	Battered Mushrooms
29101505	Cheese Pizza
29101506	Antipasto Salad
29101507	Beefy Shroom Pizza
29101508	Cheese Pizza
29101509	Eggplant Hero
29101510	Bang Bang Fries
29101511	Cheese Pizza
29101512	Super Pizza House Special
29101513	French Fries
29101514	House Salad
29101515	Breadsticks with Dipping Sauce
29101516	BBQ Wings
29101517	Plain Cheese Pizza
29101518	Puttanesca Pizza
29101519	Cheese Fries
29101520	Chicken Tenders Dinner
29101521	Formaggio Pizza
29101522	Supreme Pizza
29101523	Cheese Calzone
29101524	Chicken Tenders
29101525	Bread Sticks
29101526	Calzone Napolitano
29101527	"One Large Plain Pizza, Two Cheesesteak Sandwiches, Twelve Pieces Wings & 2 Liter Soda Special"
29101528	Cheeseburger
29101529	Cheese Pizza
29101530	Garlic Knots
29101531	#3 Sunday To Thursday Special
29101532	Buffalo Caesar Salad
29101533	Cheese Steak Sub
29101534	BBQ Chicken Traditional Pizza
29101535	Cheese Pizza
29101536	Buffalo Chicken Cheesesteak Sandwich
29101537	Meat Meeting Pizza
29101538	Fried Mushrooms
29101539	Italian Sub
29101540	Antipasto Salad
29101541	Cheese Pizza
29101542	Baklava
29101543	Buffalo Chicken Pizza
29101544	Buffalo Chicken Pizza
29101545	Cheese Pizza
29101546	Baked Lasagna
29101547	Baked Ziti with Mozzarella
29101548	Buffalo Pizza
29101549	Cinnamon Dessert Pizza
29101550	Any Sub with Fries & 20 oz. Drink Special
29101551	Cheese Pizza
29101552	Bacon Cheddar Deluxe Pizza
29101553	Calzone
29101554	Pasta Vodka
29101555	Caesar Salad
29101556	Cheesesteak Sandwich
29101557	Buffalo Wings
29101558	Baked Ziti
29101559	Caesar Salad
29101560	Cheese Pizza
29101561	Build Your Own Pizza
29101562	Chicken Francese
29101563	Chicken Parmesan
29101564	"18"" Large Thin Crust Three Toppings Pizza & 2 Liter Soda For $17.99"
29101565	Build Your Own Thin Crust Cheese Pizza
29101566	Cheese Pizza
29101567	Bone In Wings
29101568	Mini New York Cannolis
29101569	Mozzarella Sticks
29101570	Cheese Steak Sub
29101571	Big Louie's Special Pizza
29101572	Milkshakes
29101573	Four Cheese Pizza
29101574	Basic Burger
29101575	Calzone
29101576	Family Combo Pick Up Special
29101577	Meat Lovers Pizza
29101578	Cheese Steak Pizza
29101579	"14"" Cheese Pizza Monday Special"
29101580	Cheese Steak
29101581	Broccoli Rabe & Sausage
29101582	Chop-Chop Salad
29101583	Pasta with Vodka Sauce
29101584	Cheese Pie
29101585	Plain Pizza
29101586	Baked Ziti
29101587	Eggplant Parmigiana Hero
29101588	Basic Calzone with Sauce
29101589	Cheese Calzone
29101590	Apple Juice
29101591	Baked Ziti with Mozzarella
29101592	Antipasto Salad
29101593	Chicken Cutlet Parmigiana
29101594	Red Mozzarella Cheese Pizza
29101595	Bruschetta
29101596	Build Your Own Calzone
29101597	"Hail, Caesar Salad"
29101598	Cheese Pizza
29101599	Cheese Fries
29101600	Cheesesteak Platter
29101601	BBQ Chicken Wrap
29101602	Caesar Salad
29101603	Cheese Pizza
29101604	Supremo Pizza
29101605	The Steak & Cheese Pizza
29101606	Cheesecake
29101607	4 Topper Pizza
29101608	Combo Dish
29101609	Wings
29101610	Cheese Pizza
29101611	Cheese Steak
29101612	One Large Cheese Pizza For $10
29101613	Neapolitan Vegetarian White Pizza
29101614	Chicken Caesar Wrap
29101615	BBQ Wings
29101616	Plain Pizza
29101617	Buffalo Chicken Wings
29101618	Chicken Cutlet Parmigiana Wedge
29101619	Soda
29101620	Double Hamburger
29101621	Garlic Bread with Cheese
29101622	Buffalo Wings
29101623	Fettuccini Alfredo with Chicken
29101624	Meat Classic Pie
29101625	Cheese Pizza
29101626	Alfredo Pizza
29101627	Fettuccine Alfredo
29101628	Chicken Tenders
29101629	Pollo alla Parmigiana
29101630	French Fries
29101631	Grandma Pizza
29101632	Baked Penne
29101633	Madison Forestiera Flatbread
29101634	Chicken Francese
29101635	Bellitalia Sticks
29101636	Plain Cheese Pizza
29101637	Cheese Pizza
29101638	Two Way Pizza
29101639	Buffalo Wings
29101640	Brooklyn Pizza Slice
29101641	Thin Crust Cheese Pizza
29101642	Cheese Pizza
29101643	Build Your Own Double Decker Cheese Pizza
29101644	Breaded Mushroom
29101645	Cheese Tortellini
29101646	Round Cheese Pizza
29101647	Cheese Pizza
29101648	Cheese Pizza
29101649	Buffalo Chicken Pizza
29101650	Cheese Pizza
29101651	Carmine Special Pizza
29101652	Bone-In Wingz
29101653	Cheese Pizza
29101654	Chicken Piccata
29101655	Cheese Pizza
29101656	Bruschetta White Pizza
29101657	Cheese Fries
29101658	Bone-In Wingz
29101659	One Topping Pizza
29101660	Bone In Wings
29101661	Boneless Asian Short Rib
29101662	Chicago Stuffed Cheese Pizza
29101663	"16"" Thin Crust Pizza with One Topping Monday Special"
29101664	Cannoli
29101665	French Fries
29101666	Breaded Fried Ravioli
29101667	Cheese Calzone
29101668	Buffalo Wings
29101669	Broccoli Bites
29101670	Cheese Ravioli
29101671	Beef Bolognese
29101672	Garlic White Pizza
29101673	Chicken Parmesan
29101674	Plain Pizza
29101675	Chicken Fingers
29101676	Bacon Cheddar Potato Wedges
29101677	Build Your Own Pizza
29101678	Chicken Alfredo
29101679	Buffalo Grilled Chicken Sub
29101680	Original Wings
29101681	Caesar Salad
29101682	Cheese Pizza
29101683	Carrot Cake
29101684	Cheese Pizza with One Topping
29101685	Garlic Knots
29101686	Gondola Sub
29101687	Four Toppings Pizza
29101688	Caesar Salad
29101689	Mushrooms Pizza
29101690	Tony's Original Crust Pizza
